,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,5.0,30.0,1.6919641471967397e-05,61.6977424621582,3186.0,332.371566978942
1,0.0,5.0,40.0,1.3500935161384482e-06,58.96333885192871,4251.0,332.37160528839735
2,0.0,5.0,50.0,9.630976705067165e-05,98.79789733886719,4868.0,332.3716192546757
3,0.0,5.0,60.0,7.517581414317894e-07,70.69295310974121,4573.0,332.37153227130744
4,0.0,5.0,70.0,9.890250096162587e-06,51.61613655090332,4239.0,332.3715303510688
5,1.0,5.0,30.0,8.015152562538151e-08,46.2463436126709,2713.0,463.33815842902857
6,1.0,5.0,40.0,8.962328301772121e-07,76.21590042114258,5851.0,459.5083087200284
7,1.0,5.0,50.0,1.3409871709672701e-06,68.783447265625,4456.0,458.02563026739307
8,1.0,5.0,60.0,3.17064498955319e-06,160.57000923156738,4757.0,458.02564579693274
9,1.0,5.0,70.0,1.2100396272146012e-06,93.41194725036621,9336.0,458.02563468134565
10,2.0,5.0,30.0,2.1984732122031397e-06,129.0029067993164,3549.0,427.461513949068
11,2.0,5.0,40.0,2.096244265006459e-05,63.51833534240723,4183.0,405.5478832783349
12,2.0,5.0,50.0,7.306172972888084e-06,77.56217575073242,4281.0,405.54788137964084
13,2.0,5.0,60.0,7.254710770550026e-06,41.58181381225586,4225.0,405.54798800505046
14,2.0,5.0,70.0,7.704627549644105e-08,57.9161376953125,4283.0,405.47066480001604
15,3.0,5.0,30.0,0.0,60.18606758117676,4080.0,367.7987118438265
16,3.0,5.0,40.0,5.2591918869822196e-05,56.37825393676758,4771.0,364.0129244643415
17,3.0,5.0,50.0,1.3135555240198965e-07,85.4698543548584,9895.0,362.6959606532597
18,3.0,5.0,60.0,4.890209430702348e-06,70.3189754486084,5462.0,362.69596612134467
19,3.0,5.0,70.0,3.987115730592238e-06,47.24068260192871,4782.0,362.6959573002488
