,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,Sec
0,0.0,5.0,30.0,2.777905992172158e-05,378.15046310424805,40408.0,384.9857632854556,20.0
1,0.0,5.0,40.0,1.5301585717707537e-07,428.1372375488281,38491.0,385.9548075151172,20.0
2,0.0,5.0,50.0,6.646944411308063e-09,282.665225982666,30123.0,371.0479937468201,10.0
3,0.0,5.0,60.0,0.0,218.17612838745117,24321.0,375.77460519893464,15.0
4,0.0,5.0,70.0,8.103376670679899e-06,272.8576240539551,27170.0,371.0480084925679,10.0
5,1.0,5.0,30.0,0.0,365.8223075866699,23285.0,479.8570098401462,10.0
6,1.0,5.0,40.0,1.8211025422434742e-05,449.5041923522949,23699.0,487.8744321545887,20.0
7,1.0,5.0,50.0,0.0,1352.981876373291,57410.0,487.87442985468186,30.0
8,1.0,5.0,60.0,2.717184520632098e-08,364.7497386932373,29471.0,484.25789192856564,25.0
9,1.0,5.0,70.0,6.955274127533581e-06,443.459285736084,34662.0,487.8744291700011,35.0
10,2.0,5.0,30.0,6.598301859601814e-07,247.02450942993164,27677.0,451.27897078249225,20.0
11,2.0,5.0,40.0,0.0,340.04080390930176,21505.0,438.16299986249885,25.0
12,2.0,5.0,50.0,0.0,220.28799438476562,25440.0,463.8103707466489,35.0
13,2.0,5.0,60.0,1.945722479664829e-08,418.2437057495117,22721.0,438.1629999393798,15.0
14,2.0,5.0,70.0,0.0,901.5405025482178,48108.0,464.8597752900166,30.0
15,3.0,5.0,30.0,0.0,1119.1606006622314,42792.0,382.7027682340187,15.0
16,3.0,5.0,40.0,1.3166037340316399e-09,917.3172721862793,53126.0,390.2546956156007,30.0
17,3.0,5.0,50.0,0.0,625.3757419586182,41398.0,371.00225097986674,20.0
18,3.0,5.0,60.0,0.0,851.5788288116455,53984.0,392.376658239977,30.0
19,3.0,5.0,70.0,3.0420536392506926e-07,260.3588008880615,28400.0,390.2545892660584,25.0
20,4.0,5.0,30.0,9.076889724660379e-09,130.56190490722656,32466.0,520.2023202829728,20.0
21,4.0,5.0,40.0,0.0,234.5638256072998,31431.0,520.2023191608673,20.0
22,4.0,5.0,50.0,9.009365830932324e-08,858.3449268341064,82551.0,518.3642926714396,25.0
23,4.0,5.0,60.0,4.1443744457364845e-08,211.50639724731445,28065.0,496.69220883732015,10.0
24,4.0,5.0,70.0,0.0,115.1700611114502,12883.0,444.9001751650854,10.0
25,0.0,6.0,30.0,0.0,4043.7909412384033,81762.0,621.0134610023632,18.0
26,0.0,6.0,40.0,0.29463303174725497,7200.181478500366,120776.0,648.7382020869659,30.0
