,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,11.0,30.0,,,,
1,0.0,11.0,40.0,,,,
2,0.0,11.0,50.0,,,,
3,0.0,11.0,60.0,,,,
4,0.0,11.0,70.0,,,,
5,1.0,11.0,30.0,,,,
6,1.0,11.0,40.0,,,,
7,1.0,11.0,50.0,,,,
8,1.0,11.0,60.0,,,,
9,1.0,11.0,70.0,,,,
10,2.0,11.0,30.0,,,,
11,2.0,11.0,40.0,,,,
12,2.0,11.0,50.0,,,,
13,2.0,11.0,60.0,,,,
14,2.0,11.0,70.0,,,,
15,3.0,11.0,30.0,,,,
16,3.0,11.0,40.0,,,,
17,3.0,11.0,50.0,,,,
18,3.0,11.0,60.0,,,,
19,3.0,11.0,70.0,,,,
20,4.0,11.0,30.0,,,,
21,4.0,11.0,40.0,,,,
22,4.0,11.0,50.0,,,,
23,4.0,11.0,60.0,,,,
24,4.0,11.0,70.0,,,,
25,0.0,12.0,30.0,,,,
26,0.0,12.0,40.0,,,,
27,0.0,12.0,50.0,,,,
28,0.0,12.0,60.0,,,,
29,0.0,12.0,70.0,,,,
30,1.0,12.0,30.0,,,,
31,1.0,12.0,40.0,,,,
32,1.0,12.0,50.0,,,,
33,1.0,12.0,60.0,,,,
34,1.0,12.0,70.0,,,,
35,2.0,12.0,30.0,,,,
36,2.0,12.0,40.0,,,,
37,2.0,12.0,50.0,,,,
38,2.0,12.0,60.0,,,,
39,2.0,12.0,70.0,,,,
40,3.0,12.0,30.0,,,,
41,3.0,12.0,40.0,,,,
42,3.0,12.0,50.0,,,,
43,3.0,12.0,60.0,,,,
44,3.0,12.0,70.0,,,,
45,4.0,12.0,30.0,,,,
46,4.0,12.0,40.0,,,,
