,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,5.0,30.0,1.6919641471967397e-05,73.3369083404541,3186.0,332.371566978942
1,0.0,5.0,40.0,1.3500935161384482e-06,53.61235237121582,4251.0,332.37160528839735
2,0.0,5.0,50.0,9.630976705067165e-05,115.68599700927734,4868.0,332.3716192546757
3,0.0,5.0,60.0,7.517581414317894e-07,72.59205055236816,4573.0,332.37153227130744
4,0.0,5.0,70.0,9.890250096162587e-06,48.874576568603516,4239.0,332.3715303510688
5,1.0,5.0,30.0,8.015152562538151e-08,48.5167293548584,2713.0,463.33815842902857
6,1.0,5.0,40.0,8.962328301772121e-07,84.8205394744873,5851.0,459.5083087200284
7,1.0,5.0,50.0,1.3409871709672701e-06,48.414907455444336,4456.0,458.02563026739307
8,1.0,5.0,60.0,3.17064498955319e-06,173.00577545166016,4757.0,458.02564579693274
9,1.0,5.0,70.0,1.2100396272146012e-06,115.35539436340332,9336.0,458.02563468134565
10,2.0,5.0,30.0,2.1984732122031397e-06,128.5540256500244,3549.0,427.461513949068
11,2.0,5.0,40.0,2.096244265006459e-05,52.92788314819336,4183.0,405.5478832783349
12,2.0,5.0,50.0,7.306172972888084e-06,64.24820899963379,4281.0,405.54788137964084
13,2.0,5.0,60.0,7.254710770550026e-06,42.15129280090332,4225.0,405.54798800505046
14,2.0,5.0,70.0,7.704627549644105e-08,57.48128318786621,4283.0,405.47066480001604
15,3.0,5.0,30.0,0.0,63.089303970336914,4080.0,367.7987118438265
16,3.0,5.0,40.0,5.2591918869822196e-05,83.42033576965332,4771.0,364.0129244643415
17,3.0,5.0,50.0,0.0005529864922593592,91.21510124206543,9871.0,362.89621773055137
18,3.0,5.0,60.0,,,,
19,3.0,5.0,70.0,0.8234058415651108,0.9424800872802734,30.0,500.3158436564921
20,4.0,5.0,30.0,,,,
21,4.0,5.0,40.0,,,,
22,4.0,5.0,50.0,,,,
23,4.0,5.0,60.0,,,,
24,4.0,5.0,70.0,,,,
25,0.0,6.0,30.0,,,,
26,0.0,6.0,40.0,,,,
27,0.0,6.0,50.0,,,,
28,0.0,6.0,60.0,,,,
29,0.0,6.0,70.0,,,,
