,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,5.0,30.0,1.6919641471967397e-05,71.35245513916016,3186.0,332.371566978942
1,0.0,5.0,40.0,1.3500935161384482e-06,70.64111328125,4251.0,332.37160528839735
2,0.0,5.0,50.0,9.630976705067165e-05,128.41115760803223,4868.0,332.3716192546757
3,0.0,5.0,60.0,7.517581414317894e-07,76.09962272644043,4573.0,332.37153227130744
4,0.0,5.0,70.0,9.890250096162587e-06,58.477861404418945,4239.0,332.3715303510688
5,1.0,5.0,30.0,8.015152562538151e-08,46.85371971130371,2713.0,463.33815842902857
6,1.0,5.0,40.0,8.962328301772121e-07,77.067138671875,5851.0,459.5083087200284
7,1.0,5.0,50.0,1.3409871709672701e-06,62.495893478393555,4456.0,458.02563026739307
8,1.0,5.0,60.0,3.17064498955319e-06,187.4810562133789,4757.0,458.02564579693274
9,1.0,5.0,70.0,1.2100396272146012e-06,107.47866630554199,9336.0,458.02563468134565
10,2.0,5.0,30.0,2.1984732122031397e-06,93.70047760009766,3549.0,427.461513949068
11,2.0,5.0,40.0,2.096244265006459e-05,50.169851303100586,4183.0,405.5478832783349
12,2.0,5.0,50.0,7.306172972888084e-06,72.64974403381348,4281.0,405.54788137964084
13,2.0,5.0,60.0,7.254710770550026e-06,45.82503318786621,4225.0,405.54798800505046
14,2.0,5.0,70.0,7.704627549644105e-08,60.642845153808594,4283.0,405.47066480001604
15,3.0,5.0,30.0,0.0,47.69546890258789,4080.0,367.7987118438265
16,3.0,5.0,40.0,5.2591918869822196e-05,40.46679878234863,4771.0,364.0129244643415
17,3.0,5.0,50.0,1.3135555240198965e-07,69.43434143066406,9895.0,362.6959606532597
18,3.0,5.0,60.0,4.890209430702348e-06,45.73862266540527,5462.0,362.69596612134467
19,3.0,5.0,70.0,3.987115730592238e-06,39.00570487976074,4782.0,362.6959573002488
20,4.0,5.0,30.0,3.65394314395343e-05,34.79396629333496,4743.0,471.52330161985964
21,4.0,5.0,40.0,6.253560164446782e-05,28.957571029663086,3314.0,441.1014422726623
22,4.0,5.0,50.0,2.1406146670428627e-06,112.16493225097656,4689.0,441.10152176300306
23,4.0,5.0,60.0,2.9133607031027695e-05,35.18192672729492,4741.0,441.1016526903062
24,4.0,5.0,70.0,3.409006145832356e-06,69.66771697998047,7013.0,441.1014318920405
25,0.0,6.0,30.0,8.266777784552405e-05,442.51449966430664,10259.0,594.9334256162746
26,0.0,6.0,40.0,0.5383336780545095,291.606201171875,10875.0,558.2180818602982
27,0.0,6.0,50.0,,,,
28,0.0,6.0,60.0,,,,
29,0.0,6.0,70.0,0.8411272381023337,1.0332374572753906,30.0,752.2120333354495
30,1.0,6.0,30.0,,,,
31,1.0,6.0,40.0,,,,
32,1.0,6.0,50.0,,,,
33,1.0,6.0,60.0,,,,
34,1.0,6.0,70.0,,,,
35,2.0,6.0,30.0,,,,
36,2.0,6.0,40.0,,,,
37,2.0,6.0,50.0,,,,
38,2.0,6.0,60.0,,,,
39,2.0,6.0,70.0,,,,
40,3.0,6.0,30.0,,,,
41,3.0,6.0,40.0,,,,
42,3.0,6.0,50.0,,,,
43,3.0,6.0,60.0,,,,
44,3.0,6.0,70.0,,,,
45,4.0,6.0,30.0,,,,
46,4.0,6.0,40.0,,,,
47,4.0,6.0,50.0,,,,
48,4.0,6.0,60.0,,,,
49,4.0,6.0,70.0,,,,
50,0.0,7.0,30.0,,,,
