,Size,Instance,Capacity,GAP,NodeCount,Runtime,ObjVal,HeurTime,HeurVal
0,5.0,0.0,30.0,0.0,1856.0,4.896368980407715,313.4829366111781,0.4505410194396972,414.75839290636986
1,5.0,0.0,40.0,0.0,2030.0,4.410501003265381,308.3858509178278,0.5446958541870117,414.75839003286126
2,5.0,0.0,50.0,0.0,1854.0,4.850844860076904,303.97853153275764,0.6165153980255127,414.75838996896425
3,5.0,0.0,60.0,4.798795610288821e-05,1778.0,6.402525901794434,302.6523985095316,0.4276223182678222,414.75839635969714
4,5.0,0.0,70.0,0.0,1825.0,4.590214014053345,302.65236767957924,0.3290638923645019,414.7583942146253
5,5.0,1.0,30.0,0.0,1328.0,3.707943916320801,502.9739659792082,0.4963405132293701,564.9127034341742
6,5.0,1.0,40.0,0.0,1486.0,2.1593568325042725,462.04282991594096,0.1432883739471435,558.4759491992
7,5.0,1.0,50.0,0.0,1870.0,3.3859939575195312,462.0428640456129,0.1155464649200439,558.4759637444149
8,5.0,1.0,60.0,0.0,1883.0,3.5478169918060303,462.0429241841455,0.0964155197143554,558.4759619721148
9,5.0,1.0,70.0,0.0,2445.0,3.4530880451202397,462.0428428115709,0.0882012844085693,558.475956227849
10,5.0,2.0,30.0,0.0,1486.0,6.257513046264648,343.5662252187103,0.147139310836792,491.5552528615174
11,5.0,2.0,40.0,0.0,1474.0,5.783990859985352,338.904508971589,0.1304683685302734,491.5552505631925
12,5.0,2.0,50.0,6.765962797432405e-05,1405.0,4.443363904953003,333.71245666356504,0.1493597030639648,491.5552534913288
13,5.0,2.0,60.0,0.0,1301.0,5.298517942428589,322.4766349930181,0.1314101219177246,491.5552607720777
14,5.0,2.0,70.0,0.0,1394.0,5.467947006225586,322.4751354093814,0.1549921035766601,491.5552631609347
15,5.0,3.0,30.0,0.0,2681.0,2.6233370304107666,363.70769848755873,0.2747530937194824,391.0718217557285
16,5.0,3.0,40.0,0.0,3321.0,3.879661083221436,363.682130478704,0.1826200485229492,391.0718204965684
