,Instance,Size,Capacity,ObjVal_h,Time_h
0,0.0,5.0,30.0,414.75839290636986,0.40671706199645996
1,0.0,5.0,40.0,414.75839003286126,0.28064703941345215
2,0.0,5.0,50.0,414.75838996896425,0.31563401222229004
3,0.0,5.0,60.0,414.75839635969714,0.23603010177612305
4,0.0,5.0,70.0,414.75839421462524,0.2857697010040283
5,1.0,5.0,30.0,564.9127034341742,0.49698734283447266
6,1.0,5.0,40.0,558.4759491992,0.06269502639770508
7,1.0,5.0,50.0,558.4759637444149,0.05891704559326172
8,1.0,5.0,60.0,558.4759619721148,0.05982518196105957
9,1.0,5.0,70.0,558.475956227849,0.05804181098937988
10,2.0,5.0,30.0,491.5552528615174,0.11167335510253906
11,2.0,5.0,40.0,491.5552505631925,0.11143302917480469
12,2.0,5.0,50.0,491.5552534913288,0.12835097312927246
13,2.0,5.0,60.0,491.55526077207765,0.11269474029541016
14,2.0,5.0,70.0,491.5552631609347,0.13230347633361816
15,3.0,5.0,30.0,391.0718217557285,0.3500072956085205
16,3.0,5.0,40.0,391.0718204965684,0.2624013423919678
17,3.0,5.0,50.0,391.0718279114909,0.3743855953216553
18,3.0,5.0,60.0,391.0718208950944,0.30841636657714844
19,3.0,5.0,70.0,391.0718165260788,0.23559975624084473
20,4.0,5.0,30.0,492.8721078618016,0.04714560508728027
21,4.0,5.0,40.0,492.8721188766655,0.056876182556152344
22,4.0,5.0,50.0,492.8721243570571,0.05392765998840332
23,4.0,5.0,60.0,492.87211910990186,0.054077863693237305
24,4.0,5.0,70.0,492.87211477584606,0.055589914321899414
25,0.0,6.0,30.0,748.2907805347397,0.08327317237854004
26,0.0,6.0,40.0,746.0634713319539,0.4325544834136963
27,0.0,6.0,50.0,746.0634498319257,0.07999110221862793
28,0.0,6.0,60.0,746.0634661709273,0.07692551612854004
29,0.0,6.0,70.0,746.0634670106901,0.13865900039672852
30,1.0,6.0,30.0,556.8621347058127,0.07832455635070801
31,1.0,6.0,40.0,556.8621364227063,0.08339691162109375
32,1.0,6.0,50.0,556.8621405381461,0.08509302139282227
33,1.0,6.0,60.0,556.86215042162,0.08043837547302246
34,1.0,6.0,70.0,556.8621493007627,0.08100271224975586
35,2.0,6.0,30.0,499.7474250249301,0.30144619941711426
36,2.0,6.0,40.0,499.74743432336436,0.07802128791809082
37,2.0,6.0,50.0,499.74743211410265,0.07824850082397461
38,2.0,6.0,60.0,499.7474286707085,0.0807185173034668
39,2.0,6.0,70.0,499.74742520523137,0.08140873908996582
40,3.0,6.0,30.0,561.5332529573965,0.08924126625061035
41,3.0,6.0,40.0,556.683661452027,0.09357142448425293
42,3.0,6.0,50.0,556.6836590643913,0.08737659454345703
43,3.0,6.0,60.0,556.6836647363962,0.37120699882507324
44,3.0,6.0,70.0,556.6836587106611,0.3659379482269287
45,4.0,6.0,30.0,607.0168694289817,0.08158087730407715
46,4.0,6.0,40.0,607.0168717053748,0.09400653839111328
47,4.0,6.0,50.0,607.016849796026,0.08994507789611816
48,4.0,6.0,60.0,607.0170081294716,0.0876016616821289
49,4.0,6.0,70.0,607.0168739037895,0.08462810516357422
50,0.0,7.0,30.0,585.3577105857111,0.11744427680969238
51,0.0,7.0,40.0,585.3577222684256,0.6248338222503662
52,0.0,7.0,50.0,585.3577061526174,0.7053561210632324
53,0.0,7.0,60.0,585.3577095159235,0.4986245632171631
54,0.0,7.0,70.0,585.3577188365102,0.11130237579345703
55,1.0,7.0,30.0,814.6681675429897,0.1074075698852539
56,1.0,7.0,40.0,784.6682023219261,0.4424316883087158
