,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,5.0,30.0,2.05706758576122e-07,5.523836135864258,2042.0,313.4830358502558
1,0.0,5.0,40.0,0.0,4.301141977310181,2035.0,308.3846584751674
2,0.0,5.0,50.0,0.0,4.490648984909058,2115.0,303.97853411207507
3,0.0,5.0,60.0,1.5036641466057485e-05,4.689922094345093,2006.0,302.65253774187886
4,0.0,5.0,70.0,0.0,4.6949028968811035,1845.0,302.6524776805172
5,1.0,5.0,30.0,0.0,3.5093579292297363,1424.0,502.97398268838424
6,1.0,5.0,40.0,0.0,2.5777390003204346,1608.0,462.0428144543257
7,1.0,5.0,50.0,0.0,2.5727200508117676,2099.0,462.04286238754366
8,1.0,5.0,60.0,0.0,4.3560569286346436,2248.0,462.04288734343504
9,1.0,5.0,70.0,0.0,5.337158918380737,2428.0,462.0428778728392
10,2.0,5.0,30.0,0.0,7.783857107162476,1393.0,343.56620504534396
11,2.0,5.0,40.0,0.0,6.849884033203125,1399.0,338.90383181893594
12,2.0,5.0,50.0,0.0,5.976239204406738,1571.0,333.7124511982639
13,2.0,5.0,60.0,0.0,6.3619630336761475,1337.0,322.47664351640384
14,2.0,5.0,70.0,0.0,6.065787076950073,1487.0,322.4759700731567
15,3.0,5.0,30.0,0.0,4.900230884552002,2267.0,363.70772229585225
16,3.0,5.0,40.0,0.0,7.559107065200806,3699.0,363.682131901875
17,3.0,5.0,50.0,0.0,6.709060907363892,3483.0,363.6821340158396
18,3.0,5.0,60.0,0.0,6.035466909408569,3616.0,363.68214998158703
19,3.0,5.0,70.0,0.0,6.057657957077026,3788.0,363.68212535534724
20,4.0,5.0,30.0,6.364878964458796e-05,4.9392249584198,1154.0,345.92249898887934
21,4.0,5.0,40.0,0.0,4.1006920337677,1233.0,345.92250540684734
22,4.0,5.0,50.0,0.0,3.9211909770965576,1492.0,345.9226939471626
23,4.0,5.0,60.0,0.0,4.902601957321167,1304.0,343.73461821954476
24,4.0,5.0,70.0,0.0,4.185306072235107,1220.0,343.73538876297226
