,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,Sec
0,0.0,5.0,30.0,0.0,2.9745569229125977,3122.0,313.49634733930986,0.0
1,0.0,5.0,40.0,0.0,2.0613529682159424,3519.0,308.387007414919,0.0
2,0.0,5.0,50.0,0.0,4.150079011917114,3627.0,303.9849609871726,0.0
3,0.0,5.0,60.0,0.0,2.7291769981384277,3616.0,302.65464075574806,0.0
4,0.0,5.0,70.0,0.0,2.64823317527771,3560.0,302.65602114958415,0.0
5,1.0,5.0,30.0,0.0,1.923022985458374,1912.0,502.97877793653583,0.0
6,1.0,5.0,40.0,0.0,2.22953200340271,2335.0,462.0479736175927,0.0
7,1.0,5.0,50.0,0.0,2.4568679332733154,2892.0,462.0551955985709,0.0
8,1.0,5.0,60.0,0.0,2.9812710285186768,3323.0,462.0506285396077,0.0
9,1.0,5.0,70.0,0.0,2.898277997970581,3174.0,462.0602132061183,0.0
10,2.0,5.0,30.0,0.0,3.1944878101348877,2674.0,343.56963203239,0.0
11,2.0,5.0,40.0,0.0,2.2642459869384766,2595.0,338.92019091322084,0.0
12,2.0,5.0,50.0,0.0,3.245661973953247,2831.0,333.7312985733064,0.0
13,2.0,5.0,60.0,0.0,2.152925968170166,2739.0,322.4798860575518,0.0
14,2.0,5.0,70.0,0.0,1.9054498672485352,2500.0,322.4773721029776,0.0
15,3.0,5.0,30.0,0.0,2.011436939239502,3058.0,363.71945723677675,0.0
16,3.0,5.0,40.0,0.0,3.1220078468322754,4065.0,363.68536920838727,0.0
17,3.0,5.0,50.0,0.0,3.2598390579223633,4745.0,363.6859973089976,0.0
18,3.0,5.0,60.0,0.0,3.052894115447998,4436.0,363.6848743079449,0.0
19,3.0,5.0,70.0,0.0,2.727653980255127,4316.0,363.6859254578542,0.0
20,4.0,5.0,30.0,0.0,1.7296931743621826,1915.0,345.92665895798666,0.0
21,4.0,5.0,40.0,0.0,1.8264200687408447,2255.0,345.9287115923345,0.0
22,4.0,5.0,50.0,0.0,1.9087128639221191,2454.0,345.92954099964413,0.0
23,4.0,5.0,60.0,0.0,1.8212699890136719,2573.0,343.7483380333106,0.0
24,4.0,5.0,70.0,0.0,1.8558859825134277,2546.0,343.74234010550765,0.0
25,0.0,6.0,30.0,0.0,10.775070190429688,9051.0,634.8349579692948,0.0
26,0.0,6.0,40.0,0.0,18.94878101348877,14176.0,588.3647859968153,0.0
27,0.0,6.0,50.0,0.0,23.61774206161499,17438.0,564.7929735808506,0.0
28,0.0,6.0,60.0,0.0,30.563944101333618,21879.0,564.7909805426503,0.0
29,0.0,6.0,70.0,1.538809623384609e-05,25.408116102218628,21333.0,564.7955779611498,0.0
30,1.0,6.0,30.0,1.2913699369199752e-06,22.906266927719116,20488.0,445.72278049188606,0.0
31,1.0,6.0,40.0,5.327173562393379e-05,29.39313292503357,24683.0,431.4964303076318,0.0
32,1.0,6.0,50.0,5.801170152613178e-05,39.4956259727478,29316.0,431.49170417273575,0.0
33,1.0,6.0,60.0,2.461985482773754e-05,36.830605030059814,29160.0,431.49766585570825,0.0
34,1.0,6.0,70.0,0.0,37.87511706352234,29792.0,431.48992388543775,0.0
35,2.0,6.0,30.0,0.0,20.308132886886597,20258.0,412.4993792168264,0.0
36,2.0,6.0,40.0,0.0,35.50929808616638,26009.0,401.69612592209376,0.0
37,2.0,6.0,50.0,7.781277294817589e-05,22.174581050872803,21914.0,401.6799703372624,0.0
38,2.0,6.0,60.0,9.256964101827912e-05,25.718050956726074,25351.0,401.6793413056883,0.0
39,2.0,6.0,70.0,0.0,30.034748077392578,25117.0,401.6796990471006,0.0
40,3.0,6.0,30.0,7.279690641335449e-05,20.587337970733643,14238.0,503.5546141109468,0.0
41,3.0,6.0,40.0,7.574039192565356e-05,20.098935842514038,18389.0,465.6244032022313,0.0
42,3.0,6.0,50.0,0.0,29.103954076766968,21706.0,465.4580889422688,0.0
43,3.0,6.0,60.0,0.0,35.097487926483154,29260.0,465.46599317837513,0.0
44,3.0,6.0,70.0,0.0,30.364362955093384,29134.0,465.46970567710855,0.0
45,4.0,6.0,30.0,0.0,10.035111904144287,10387.0,499.6436063751968,0.0
46,4.0,6.0,40.0,0.0,22.384193897247314,15657.0,465.06010574795596,0.0
47,4.0,6.0,50.0,7.484022199691622e-05,31.123372077941895,20967.0,465.0244861873758,0.0
48,4.0,6.0,60.0,0.0,25.961797952651978,20904.0,465.0336229428241,0.0
49,4.0,6.0,70.0,0.0,25.77597188949585,21027.0,465.01924849285524,0.0
50,0.0,7.0,30.0,8.971451148754886e-05,547.0257489681244,229578.0,496.8984917046081,0.0
51,0.0,7.0,40.0,8.88707570005787e-05,546.9404599666595,242837.0,456.85740999177744,0.0
52,0.0,7.0,50.0,8.789860959889555e-05,519.88463306427,295373.0,456.86278229005757,0.0
53,0.0,7.0,60.0,9.058401133883613e-05,480.7349901199341,309041.0,456.86868956518424,0.0
54,0.0,7.0,70.0,8.843837444079403e-05,692.8534529209137,348080.0,456.8653541725123,0.0
55,1.0,7.0,30.0,6.187137268202416e-05,410.1074571609497,128004.0,568.1591426032211,0.0
56,1.0,7.0,40.0,2.0396092085569153e-05,398.7307231426239,183886.0,515.1946433269238,0.0
57,1.0,7.0,50.0,9.89401784307846e-05,377.93693709373474,180090.0,504.49473290990545,0.0
58,1.0,7.0,60.0,8.8121074417757e-05,585.8540179729462,226770.0,504.47675693406666,0.0
59,1.0,7.0,70.0,9.961558299474042e-05,373.24103593826294,212355.0,504.4716714191659,0.0
60,2.0,7.0,30.0,7.77548539776404e-05,255.50919914245605,87509.0,596.9850752027542,0.0
61,2.0,7.0,40.0,5.7157393782923426e-05,351.79937291145325,140335.0,580.4078819209519,0.0
62,2.0,7.0,50.0,7.263238074583199e-05,427.48586106300354,178397.0,552.7556241839839,0.0
63,2.0,7.0,60.0,9.72585587880946e-05,468.7970449924469,198811.0,552.7483722895279,0.0
64,2.0,7.0,70.0,7.381527251503831e-05,317.69223403930664,184320.0,552.7517546785975,0.0
65,3.0,7.0,30.0,3.081579875894731e-05,309.65659403800964,113600.0,638.5119464659754,0.0
66,3.0,7.0,40.0,7.658448041957563e-05,459.9780170917511,169408.0,604.6730379783288,0.0
67,3.0,7.0,50.0,9.857472415378795e-05,607.588075876236,246364.0,589.3137788268291,0.0
68,3.0,7.0,60.0,8.39454799743523e-05,762.4195790290833,284404.0,589.3251628546557,0.0
69,3.0,7.0,70.0,3.186025705972951e-05,676.5635941028595,309760.0,589.3254346738078,0.0
70,4.0,7.0,30.0,8.359946006907834e-05,381.9054479598999,168732.0,528.3423714631331,0.0
71,4.0,7.0,40.0,3.98112398168497e-05,399.8417570590973,204369.0,479.5035904597554,0.0
72,4.0,7.0,50.0,9.540807702674785e-05,474.35187315940857,270185.0,479.46055638305586,0.0
73,4.0,7.0,60.0,8.11590986901585e-05,426.62688302993774,265035.0,479.46372746941677,0.0
74,4.0,7.0,70.0,9.575446606416092e-05,498.429340839386,300027.0,479.45726533300143,0.0
75,0.0,8.0,30.0,9.376794574407721e-05,3904.2990732192993,997382.0,713.4003186814452,0.0
76,0.0,8.0,40.0,9.064405646644356e-05,7014.0999710559845,1587610.0,659.0982806142463,0.0
77,0.0,8.0,50.0,9.783452503042441e-05,6449.7998168468475,2093730.0,650.0241426274167,0.0
78,0.0,8.0,60.0,0.23806604907575712,7200.014189004898,2215310.0,649.7272362891623,0.0
79,0.0,8.0,70.0,0.22372054958138599,7200.012671947479,2346999.0,649.7205503595455,0.0
80,1.0,8.0,30.0,9.885806421040484e-05,6506.020024061203,1188779.0,578.0631923759062,0.0
81,1.0,8.0,40.0,9.409499609718776e-05,4356.333004951477,1214354.0,518.8673850407781,0.0
82,1.0,8.0,50.0,0.21643523209128265,7200.0112388134,1448927.0,514.4049014800275,0.0
83,1.0,8.0,60.0,9.73204609134759e-05,6828.569473028183,1883770.0,514.1158919585207,0.0
84,1.0,8.0,70.0,9.645207205542196e-05,5968.574142932892,1990208.0,514.1483479616313,0.0
85,2.0,8.0,30.0,9.921398129953784e-05,3651.8230240345,921896.0,631.4389463958249,0.0
86,2.0,8.0,40.0,0.1761433769444751,7200.0101890563965,1365715.0,613.7723902846151,0.0
87,2.0,8.0,50.0,9.630154748704558e-05,7115.998829841614,1802177.0,595.0601840079087,0.0
88,2.0,8.0,60.0,0.33415918984785625,7200.0118770599365,1299342.0,595.0314375419437,0.0
89,2.0,8.0,70.0,0.2850379792383463,7200.015518903732,1714717.0,594.9802452887049,0.0
90,3.0,8.0,30.0,9.803448706847948e-05,3980.0017428398132,1102604.0,436.23393094791373,0.0
91,3.0,8.0,40.0,9.303859972554292e-05,5347.811127901077,1274332.0,421.63264270333985,0.0
92,3.0,8.0,50.0,9.923934847134435e-05,4832.192524909973,1511892.0,421.5637876659123,0.0
93,3.0,8.0,60.0,9.794615856079443e-05,4562.733320951462,1465440.0,421.5540700476318,0.0
94,3.0,8.0,70.0,9.00360869158659e-05,5714.017122030258,1514800.0,421.57469276962775,0.0
95,4.0,8.0,30.0,8.876731418696033e-05,5194.5652987957,1102730.0,662.3207201958298,0.0
96,4.0,8.0,40.0,0.2934043175837154,7200.011248826981,1419653.0,657.066726219814,0.0
97,4.0,8.0,50.0,0.40807569775352115,7200.012198925018,1355490.0,640.0960444311131,0.0
98,4.0,8.0,60.0,0.4298743312390843,7200.011273145676,1415307.0,634.4449484111951,0.0
99,4.0,8.0,70.0,0.3469228699494272,7200.017679929733,1814934.0,634.4495881624092,0.0
100,0.0,9.0,30.0,0.6834262055936964,7200.013038158417,798224.0,649.1480263326954,0.0
101,0.0,9.0,40.0,0.7001185652875825,7200.013566970825,919468.0,632.3304190172123,0.0
102,0.0,9.0,50.0,0.7411341351866857,7200.015686988831,745894.0,616.1061105173505,0.0
103,0.0,9.0,60.0,0.7481506475567651,7200.01304101944,884597.0,627.5008400497056,0.0
104,0.0,9.0,70.0,0.746713171225201,7200.010318994522,777946.0,612.2445482744464,0.0
105,1.0,9.0,30.0,0.7587862025838513,7200.011873006821,705600.0,607.913925349585,0.0
106,1.0,9.0,40.0,0.7643803220549682,7200.010594844818,640653.0,580.8946411549502,0.0
107,1.0,9.0,50.0,0.7096423106492423,7200.0090301036835,730959.0,555.091670174226,0.0
108,1.0,9.0,60.0,0.7037708430549177,7200.009448051453,769519.0,542.4005447069701,0.0
109,1.0,9.0,70.0,0.776369013398985,7200.010331869125,530231.0,589.2782074011102,0.0
110,2.0,9.0,30.0,0.7925440377635549,7200.019508838654,540624.0,782.6152074205329,0.0
111,2.0,9.0,40.0,0.698184208216219,7200.015483856201,869416.0,738.8691846624788,0.0
112,2.0,9.0,50.0,0.7284957723425056,7200.014188051224,813425.0,695.1468145525434,0.0
113,2.0,9.0,60.0,0.7375699217913451,7200.012072086334,780236.0,686.9817798417702,0.0
114,2.0,9.0,70.0,0.7025284926330465,7200.012997865677,1016555.0,666.0797479276614,0.0
115,3.0,9.0,30.0,0.7353257279003497,7200.009494066238,870569.0,651.3201410242341,0.0
116,3.0,9.0,40.0,0.7189944396432644,7200.010791063309,807552.0,629.0956767120342,0.0
117,3.0,9.0,50.0,0.7653588680898036,7200.01109290123,708901.0,637.0758995005598,0.0
118,3.0,9.0,60.0,0.7820020576761009,7200.008761882782,761959.0,631.8445859890619,0.0
119,3.0,9.0,70.0,0.7723241063466181,7200.012969017029,889259.0,637.0447914896025,0.0
120,4.0,9.0,30.0,0.6545727867615769,7200.011276006699,1030373.0,503.3579847569855,0.0
121,4.0,9.0,40.0,0.65925914679276,7200.010627985001,1100620.0,505.1305106147863,0.0
122,4.0,9.0,50.0,0.7425599094947084,7200.017414093018,728428.0,505.0970678420421,0.0
123,4.0,9.0,60.0,0.7110839530929585,7200.019818067551,962400.0,505.1054423275573,0.0
124,4.0,9.0,70.0,0.7244389183241852,7200.012548208237,1030988.0,491.99903782281734,0.0
125,0.0,10.0,30.0,0.8508217266482149,7200.016661167145,591457.0,767.5237699819986,0.0
126,0.0,10.0,40.0,0.8549026572464363,7200.0158360004425,752775.0,755.5736820091628,0.0
127,0.0,10.0,50.0,0.8527938682829935,7200.015022993088,728450.0,754.6143496566087,0.0
128,0.0,10.0,60.0,0.8392139398970269,7200.01270699501,675358.0,720.1664061140018,0.0
129,0.0,10.0,70.0,0.911173387804254,7200.010349035263,723157.0,727.6848012691191,0.0
130,1.0,10.0,30.0,0.8578916362507009,7200.010473012924,671534.0,741.2202926591647,0.0
131,1.0,10.0,40.0,0.8342602138313763,7200.013456821442,680245.0,714.821305238218,0.0
132,1.0,10.0,50.0,0.78644866404817,7200.010678052902,734753.0,678.7906592485344,0.0
133,1.0,10.0,60.0,0.8604220676578855,7200.614145040512,731096.0,675.3986417267208,0.0
134,1.0,10.0,70.0,0.8656611752741126,7200.012302875519,682794.0,717.0287714008023,0.0
135,2.0,10.0,30.0,0.8772691605956322,7200.013226985931,596464.0,669.6187767605396,0.0
136,2.0,10.0,40.0,0.8896193862885251,7200.013060092926,660161.0,631.6583052822326,0.0
137,2.0,10.0,50.0,0.9445921209692226,7200.015085935593,573359.0,643.7574726680734,0.0
138,2.0,10.0,60.0,0.9461466679479057,7200.011482000351,502563.0,643.8618057722682,0.0
139,2.0,10.0,70.0,0.918513252319496,7200.016512155533,676427.0,637.5315870535737,0.0
140,3.0,10.0,30.0,0.9163738607916158,7200.013521194458,394497.0,794.6608322596286,0.0
141,3.0,10.0,40.0,0.8704635869817251,7200.012689113617,560561.0,792.7881099025128,0.0
142,3.0,10.0,50.0,0.9160799548210298,7200.012351036072,464766.0,788.4883910394867,0.0
143,3.0,10.0,60.0,0.9144068575085459,7200.012400865555,464687.0,777.5503369326244,0.0
144,3.0,10.0,70.0,0.8908662260551089,7200.013125181198,429647.0,748.8033666235058,0.0
