,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,3.0,12.0,30.0,0.8413681034149907,7200.153823852539,54190.0,770.6197646494358,0.057843923568725586,770.6197661156011
1,3.0,12.0,40.0,0.9018099305068893,7200.1468143463135,9577.0,770.51239768381,0.048868656158447266,770.5124063228909
2,3.0,12.0,50.0,0.911336010512208,7200.209825515747,14560.0,770.5123248822775,0.060838937759399414,770.5123333270839
3,3.0,12.0,60.0,0.7238681300235837,7200.247369766235,16594.0,717.9923332765843,0.05784726142883301,770.5123276137474
4,3.0,12.0,70.0,0.8645876803763047,7200.138631820679,45276.0,743.2633300412036,0.05983734130859375,770.5124853459224
5,4.0,12.0,30.0,0.8956533897822437,7200.277435302734,40372.0,822.4161238119299,0.09973382949829102,822.9113231400205
6,4.0,12.0,40.0,0.8605811586227644,7200.169418334961,44560.0,813.7197400958635,0.1326463222503662,822.9112802991084
7,4.0,12.0,50.0,0.8617402179822612,7200.17600440979,13003.0,822.9113004229525,0.11469459533691406,822.9113207815074
8,4.0,12.0,60.0,0.9077961091077482,7200.331472396851,28420.0,784.262587021906,0.1356358528137207,822.9113877428574
9,4.0,12.0,70.0,0.9299168023651854,7200.15157699585,16843.0,813.7196939095534,0.13762688636779785,822.9112725245494
10,0.0,13.0,30.0,0.8774682978364072,7200.290479660034,79869.0,872.6261653665816,0.16954827308654785,872.6265192920214
11,0.0,13.0,40.0,0.8471337674961258,7200.42783164978,85463.0,732.9727566517615,0.15159368515014648,872.6261632886448
12,0.0,13.0,50.0,0.9325503615318612,7200.430021286011,9355.0,872.6261693105,0.16655540466308594,872.6261693105
13,0.0,13.0,60.0,0.8179346784924065,7200.364572525024,79094.0,682.9370458722098,0.20644426345825195,872.6262771585197
14,0.0,13.0,70.0,0.9124262030898869,7200.496297836304,58339.0,752.6734104331956,0.2154242992401123,872.6262424291764
15,1.0,13.0,30.0,0.9395950822223796,7200.14351272583,27735.0,1138.9150196091773,0.2991983890533447,1234.0806186690966
16,1.0,13.0,40.0,0.9308921312805054,7201.076452255249,15529.0,1234.0804544747873,0.2922179698944092,1234.0804546001843
17,1.0,13.0,50.0,0.9475424092964875,7200.666484832764,24230.0,1234.0813365869471,0.3749980926513672,1234.0813365869471
18,1.0,13.0,60.0,0.9470389687423144,7200.310060501099,17677.0,1157.7271594523627,0.4228682518005371,1234.0804572149634
19,1.0,13.0,70.0,0.9209281538703936,7200.503314971924,60695.0,913.7009314019078,0.43782901763916016,1234.0806616367686
20,2.0,13.0,30.0,0.9173909320669694,7200.528057098389,68848.0,947.4396628874837,0.2872300148010254,947.4396766090391
21,2.0,13.0,40.0,0.9325417880742626,7200.433380126953,18128.0,947.4393882444701,0.1904911994934082,947.4393968253333
22,2.0,13.0,50.0,0.9340301936491889,7200.607252120972,17002.0,947.4395769358397,0.2513008117675781,947.4397050145658
23,2.0,13.0,60.0,0.91330023249822,7200.390686035156,57012.0,836.3402358872713,0.1954784393310547,947.4393639302394
24,2.0,13.0,70.0,0.9219203320771472,7200.326665878296,16490.0,947.4394684761468,0.201460599899292,947.4394794911228
25,3.0,13.0,30.0,0.9276518693671048,7200.203897476196,11019.0,1090.087384628076,0.0847783088684082,1091.459900551842
26,3.0,13.0,40.0,0.8195610793394762,7200.3070640563965,16191.0,1081.9462103826863,0.07779169082641602,1081.9462681834143
27,3.0,13.0,50.0,0.852955691161731,7201.48237991333,61221.0,989.9383088779878,0.0857701301574707,1081.9461134897078
28,3.0,13.0,60.0,0.915334432163152,7200.244478225708,15540.0,1081.9461000065426,0.08078575134277344,1081.9461061125041
29,3.0,13.0,70.0,0.9079211116216379,7200.387544631958,15840.0,1081.9461403128576,0.08377432823181152,1081.9461595419566
30,4.0,13.0,30.0,0.9216323854025277,7200.272424697876,18167.0,681.9070745799452,0.1216728687286377,681.9070880071409
31,4.0,13.0,40.0,0.9231225645284101,7200.253921508789,17147.0,681.9071248907405,0.12366867065429688,681.9071378179149
32,4.0,13.0,50.0,0.9061717082501096,7200.409200668335,92011.0,681.9070675483489,0.12466692924499512,681.9070806222405
33,4.0,13.0,60.0,0.8759447643112543,7200.5495681762695,81585.0,681.9070695213547,0.13164710998535156,681.9070773671023
34,4.0,13.0,70.0,0.9220324433755035,7200.352228164673,15967.0,681.9070692601645,0.11668705940246582,681.9070713281455
35,0.0,14.0,30.0,0.915923326866149,7200.836837768555,30207.0,984.4296090011898,0.05385589599609375,984.4296321233257
36,0.0,14.0,40.0,0.944553028096329,7200.704694747925,25593.0,913.2291788719194,0.07978677749633789,984.4297391768333
37,0.0,14.0,50.0,0.9644813376238555,7201.02313041687,1516.0,984.4298446843046,0.07779717445373535,984.4298446843046
38,0.0,14.0,60.0,0.9652910653684155,7201.646514892578,1131.0,984.4297972234648,0.10571765899658203,984.4297972234648
39,0.0,14.0,70.0,0.926253192792708,7201.305202484131,26938.0,984.4296312950515,0.0797872543334961,984.4297144207294
40,1.0,14.0,30.0,0.9579606822845851,7200.590160369873,30824.0,890.3992536279104,0.10172772407531738,890.3996063949526
41,1.0,14.0,40.0,0.9664855415806131,7200.617256164551,29885.0,890.3992442299872,0.08976006507873535,890.3995365203862
42,1.0,14.0,50.0,0.9116362752709786,7200.722229003906,32772.0,856.3673911151852,0.0937495231628418,890.3992344244292
43,1.0,14.0,60.0,0.9737597597005351,7200.655090332031,1607.0,890.3991887397797,0.10471892356872559,890.3991887397797
44,1.0,14.0,70.0,0.9462921492969363,7200.974649429321,35019.0,854.9899455333205,0.11568927764892578,890.3993205057897
45,2.0,14.0,30.0,0.9421119164576595,7201.353820800781,32465.0,899.1513710479488,0.07875895500183105,899.151489543251
46,2.0,14.0,40.0,0.9425543094301216,7200.85998916626,28515.0,897.9216432358855,0.06881904602050781,897.9216432358855
47,2.0,14.0,50.0,0.9707311272979463,7200.562295913696,1319.0,897.9211822814997,0.08577561378479004,897.9211822814997
48,2.0,14.0,60.0,0.9789857631933746,7200.4557056427,1359.0,897.9213565836272,0.08776330947875977,897.9213565836272
49,2.0,14.0,70.0,0.9433226253110321,7201.088413238525,29615.0,763.2844320835103,0.08178091049194336,897.9211197843263
50,3.0,14.0,30.0,0.9623743664031555,7200.345184326172,6952.0,974.74383167474,0.13364243507385254,974.74383167474
51,3.0,14.0,40.0,0.9581099872295323,7201.162857055664,5145.0,973.641484299272,0.12466645240783691,973.6415413192326
52,3.0,14.0,50.0,0.9696498122974835,7200.562934875488,5507.0,973.6414638420184,0.12466692924499512,973.6415250314388
53,3.0,14.0,60.0,0.96334986484388,7200.792486190796,5876.0,973.6413752830648,0.13663434982299805,973.6413768817789
54,3.0,14.0,70.0,0.8801860139276176,7201.387882232666,28756.0,890.4454760538563,0.14162182807922363,973.6413754992316
55,4.0,14.0,30.0,0.9476336929244025,7200.387977600098,5262.0,830.8938390899302,0.32712459564208984,830.8938390899302
56,4.0,14.0,40.0,0.9599517332558701,7200.707113265991,7344.0,830.8940586747885,0.30518412590026855,830.8940586747885
57,4.0,14.0,50.0,0.9483529813566567,7200.972852706909,33590.0,830.8935857595685,0.34707069396972656,830.8936393246947
58,4.0,14.0,60.0,0.9334315481830304,7200.815467834473,32723.0,816.3855103998206,0.30219197273254395,830.8936362374129
59,4.0,14.0,70.0,0.9653530495418179,7200.647560119629,1213.0,830.8937302294588,0.32912135124206543,830.8937302294588
60,0.0,15.0,30.0,0.9790712499823799,7200.483020782471,2051.0,1015.3850905030678,0.2154245376586914,1015.3850905030678
61,0.0,15.0,40.0,0.9806537875003681,7200.9486656188965,1559.0,1015.3848065681052,0.15059685707092285,1015.3848065681052
