,Instance,Size,Capacity,ObjVal_h,Time_h
0,0.0,5.0,30.0,495.60785526878044,1.431706428527832
1,0.0,5.0,40.0,495.1537944439781,1.5165472030639648
2,0.0,5.0,50.0,495.1537911510723,1.4903104305267334
3,0.0,5.0,60.0,495.153798588285,1.3944735527038574
4,0.0,5.0,70.0,495.15379334418566,1.40586256980896
5,1.0,5.0,30.0,530.408865706183,1.4371812343597412
6,1.0,5.0,40.0,530.4088479394385,1.7443327903747559
7,1.0,5.0,50.0,530.4088588950349,1.6256694793701172
8,1.0,5.0,60.0,530.4088607932658,1.3365213871002197
9,1.0,5.0,70.0,530.4088569587108,1.4195797443389893
10,2.0,5.0,30.0,471.2269953780368,1.2744886875152588
11,2.0,5.0,40.0,471.2270007489971,1.4193930625915527
12,2.0,5.0,50.0,471.2270058837664,1.4295167922973633
13,2.0,5.0,60.0,471.22699872499277,1.4219210147857666
14,2.0,5.0,70.0,471.22699787370817,1.3175780773162842
15,3.0,5.0,30.0,393.2289387856116,1.215226650238037
16,3.0,5.0,40.0,393.2289427996811,1.0418076515197754
17,3.0,5.0,50.0,393.2289428217027,1.1833884716033936
18,3.0,5.0,60.0,393.2289433067512,1.2081010341644287
19,3.0,5.0,70.0,393.2289430253431,1.1657614707946777
20,4.0,5.0,30.0,525.2591039219773,1.7448086738586426
21,4.0,5.0,40.0,525.2591068389522,1.62843656539917
22,4.0,5.0,50.0,527.9897896964505,1.5076117515563965
23,4.0,5.0,60.0,525.2591065264398,1.756795883178711
24,4.0,5.0,70.0,525.2591017938128,2.004932165145874
25,0.0,6.0,30.0,700.6051966821939,2.2672626972198486
26,0.0,6.0,40.0,700.6051909997352,2.3816380500793457
27,0.0,6.0,50.0,700.6051938790126,2.0853805541992188
28,0.0,6.0,60.0,700.6047506534704,2.318521022796631
29,0.0,6.0,70.0,700.6051889435656,2.5497984886169434
30,1.0,6.0,30.0,549.4277958707241,3.5494322776794434
31,1.0,6.0,40.0,549.6240067979597,4.108151435852051
32,1.0,6.0,50.0,549.4275823331213,3.3323662281036377
33,1.0,6.0,60.0,551.1335527218273,2.568723440170288
34,1.0,6.0,70.0,549.4277985055892,3.5167696475982666
35,2.0,6.0,30.0,528.9009605890833,1.709587574005127
36,2.0,6.0,40.0,528.900787306875,1.993574857711792
37,2.0,6.0,50.0,528.9007923713765,2.1833505630493164
38,2.0,6.0,60.0,528.9006637409976,1.9986119270324707
39,2.0,6.0,70.0,528.9004303652991,2.195627212524414
40,3.0,6.0,30.0,605.7494515742536,2.510511636734009
41,3.0,6.0,40.0,605.7492310393582,2.1852424144744873
42,3.0,6.0,50.0,605.7485585119543,2.2632014751434326
43,3.0,6.0,60.0,605.7488877312402,2.2213711738586426
44,3.0,6.0,70.0,605.7494706577363,2.939181327819824
45,4.0,6.0,30.0,727.4900840489331,2.0181241035461426
46,4.0,6.0,40.0,727.4900837541951,2.0929715633392334
47,4.0,6.0,50.0,727.4900850021611,1.8645644187927246
48,4.0,6.0,60.0,727.4900909774141,2.101001262664795
49,4.0,6.0,70.0,727.4900973579634,2.264124870300293
50,0.0,7.0,30.0,750.8670206103357,3.5689845085144043
51,0.0,7.0,40.0,750.8670289168579,3.607841968536377
52,0.0,7.0,50.0,750.8670054616878,3.075974941253662
53,0.0,7.0,60.0,750.8670071310848,3.98344087600708
54,0.0,7.0,70.0,750.8670136790465,3.0993194580078125
55,1.0,7.0,30.0,599.4616165573213,4.031595230102539
56,1.0,7.0,40.0,599.3466026191622,4.275261878967285
57,1.0,7.0,50.0,600.6447577066308,3.442978620529175
58,1.0,7.0,60.0,599.3465956835455,4.296855926513672
59,1.0,7.0,70.0,599.3465958793973,4.823594808578491
60,2.0,7.0,30.0,575.2489576380817,3.9810662269592285
61,2.0,7.0,40.0,575.0440611041124,3.305548667907715
62,2.0,7.0,50.0,574.5816807326285,3.346397638320923
63,2.0,7.0,60.0,575.5319365949017,4.257253170013428
64,2.0,7.0,70.0,574.5816808231646,4.328897714614868
65,3.0,7.0,30.0,655.0612694613992,4.1696617603302
66,3.0,7.0,40.0,655.0612717316912,4.021722793579102
67,3.0,7.0,50.0,655.0612817891724,4.003604173660278
68,3.0,7.0,60.0,655.0612728130762,4.873122692108154
69,3.0,7.0,70.0,655.0612691705464,4.0848388671875
