,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
0,0.0,5.0,30.0,4.5859761052886824e-05,8.61548113822937,3467.0,332.3715295705705
1,0.0,5.0,40.0,1.274197849034431e-07,10.758113861083984,6065.0,332.3715302724429
2,0.0,5.0,50.0,6.0779870708091865e-05,10.374047994613647,5802.0,332.37152950330795
3,0.0,5.0,60.0,7.625211590793372e-05,9.855098962783813,6033.0,332.37152975965097
4,0.0,5.0,70.0,2.101261134991652e-06,11.210875034332275,5580.0,332.3715300396211
5,1.0,5.0,30.0,0.0,10.904874086380005,3879.0,463.3381820702766
6,1.0,5.0,40.0,7.270255796471833e-05,9.542325973510742,4405.0,459.5082489685079
7,1.0,5.0,50.0,0.0,15.298357009887695,6561.0,458.0256252305528
8,1.0,5.0,60.0,0.0,31.55174708366394,11055.0,458.0256850451721
9,1.0,5.0,70.0,2.0450616139139264e-05,22.76963710784912,6845.0,458.0256295251577
10,2.0,5.0,30.0,7.788701042599328e-07,10.426318883895874,4745.0,427.4614979366221
11,2.0,5.0,40.0,0.0,9.989208936691284,4254.0,405.54788071541634
12,2.0,5.0,50.0,5.9402939800743335e-05,16.18832302093506,5772.0,405.54788020656395
13,2.0,5.0,60.0,0.0,25.268321990966797,7967.0,405.5478964315623
14,2.0,5.0,70.0,5.148260057796882e-05,14.808175086975098,5453.0,405.4706696922153
15,3.0,5.0,30.0,3.0771692622109176e-05,13.795366048812866,4734.0,367.7990150219628
16,3.0,5.0,40.0,8.757877229794206e-05,12.912211894989014,4786.0,364.012941798866
17,3.0,5.0,50.0,0.0,12.805840969085693,5368.0,362.6959819828872
18,3.0,5.0,60.0,0.0,8.468954086303711,4398.0,362.6963419633129
19,3.0,5.0,70.0,0.0,14.770368099212646,5516.0,362.6959806135667
20,4.0,5.0,30.0,9.681448996430978e-05,23.325870990753174,13893.0,471.52325939837823
21,4.0,5.0,40.0,8.424233832820178e-05,11.306645154953003,6846.0,441.10142105095014
22,4.0,5.0,50.0,2.3223416828401752e-05,10.605841159820557,7087.0,441.10141639074504
23,4.0,5.0,60.0,8.740341431621545e-05,20.203183889389038,12294.0,441.10141716995065
24,4.0,5.0,70.0,8.03081758158036e-05,18.22133994102478,12644.0,441.10141622231777
25,0.0,6.0,30.0,4.87401291143243e-05,94.76788306236267,17097.0,594.9334463820121
26,0.0,6.0,40.0,7.96719060868213e-05,116.72307205200195,20635.0,558.2180590952016
27,0.0,6.0,50.0,8.830659882760082e-05,160.3420810699463,31454.0,532.1453746531247
28,0.0,6.0,60.0,4.433164986404947e-05,94.19963097572327,26501.0,532.1453724497646
29,0.0,6.0,70.0,7.66346328030035e-05,153.46183586120605,35828.0,532.145373183387
30,1.0,6.0,30.0,4.369209462015218e-05,172.61784100532532,38209.0,475.02129989359184
31,1.0,6.0,40.0,9.21493643746431e-05,324.3656759262085,53047.0,453.9437566009474
32,1.0,6.0,50.0,9.579303997703833e-05,259.98811197280884,38985.0,453.8716938415036
33,1.0,6.0,60.0,7.826790422837118e-05,204.0817310810089,42202.0,453.8716943102006
34,1.0,6.0,70.0,8.344799452429777e-05,245.48957800865173,43117.0,453.87170199461855
35,2.0,6.0,30.0,6.813704638599147e-05,158.09852600097656,28164.0,403.43194154802575
36,2.0,6.0,40.0,8.247566191307207e-05,173.02130103111267,25214.0,403.4323107402224
37,2.0,6.0,50.0,8.722849813055414e-05,175.16608595848083,29522.0,399.512458847547
38,2.0,6.0,60.0,7.106162070105632e-05,135.97895121574402,28141.0,399.51275183711005
39,2.0,6.0,70.0,0.0,181.33204102516174,32724.0,399.49004112460716
40,3.0,6.0,30.0,8.084029368813033e-05,180.34318804740906,28534.0,440.89951554694153
41,3.0,6.0,40.0,6.951547551686586e-05,216.7371790409088,32495.0,432.78303956526844
42,3.0,6.0,50.0,3.165253554610709e-05,220.49493503570557,39210.0,432.7830389134683
43,3.0,6.0,60.0,7.185762622103125e-05,224.24522304534912,37913.0,432.78303935870485
44,3.0,6.0,70.0,8.994415310026367e-05,428.4513020515442,77082.0,432.7830403253237
45,4.0,6.0,30.0,8.909373839393697e-05,137.63407111167908,31987.0,599.8794874361469
46,4.0,6.0,40.0,5.3803866692747063e-05,363.008327960968,68942.0,583.7835583881797
47,4.0,6.0,50.0,5.4563466300782986e-05,152.98902797698975,33198.0,557.3861103154127
48,4.0,6.0,60.0,8.559299376657197e-05,271.08367586135864,48322.0,557.3861093254426
49,4.0,6.0,70.0,7.017034730290669e-05,313.2323570251465,63045.0,557.3860974739756
50,0.0,7.0,30.0,9.642979379816404e-05,1513.0182101726532,121271.0,689.2815128221997
51,0.0,7.0,40.0,8.990806170296349e-05,1718.9348368644714,131066.0,661.2183371697454
52,0.0,7.0,50.0,9.462481227540378e-05,2336.960034132004,162048.0,627.0454096831427
53,0.0,7.0,60.0,7.695650936200035e-05,2633.0500819683075,199682.0,618.0302736802523
54,0.0,7.0,70.0,9.195735885902193e-05,3721.70587682724,290150.0,618.0302752142657
55,1.0,7.0,30.0,7.719879351272016e-05,6353.287775039673,291568.0,386.11617995987416
56,1.0,7.0,40.0,0.3106088444681412,7200.015532016754,255360.0,384.59158594005487
57,1.0,7.0,50.0,9.233685547229635e-05,4523.813236951828,204464.0,378.6047992602739
58,1.0,7.0,60.0,9.510473979851992e-05,4123.393892049789,196797.0,378.60479702739667
59,1.0,7.0,70.0,9.856247979895646e-05,2561.97572016716,230032.0,376.36099323155884
60,2.0,7.0,30.0,8.356377433911641e-05,3365.1477749347687,213739.0,418.04788301107965
61,2.0,7.0,40.0,9.08925141411829e-05,2205.3496651649475,168155.0,394.7610854784415
62,2.0,7.0,50.0,9.571057365182427e-05,3092.1943759918213,193114.0,394.76123641588663
63,2.0,7.0,60.0,9.745305663786691e-05,5878.871995925903,418400.0,394.7616405535837
64,2.0,7.0,70.0,9.927724386080166e-05,2777.332460165024,145067.0,390.42923501695327
65,3.0,7.0,30.0,9.978079429469482e-05,1788.0807800292969,155997.0,555.6323453971866
66,3.0,7.0,40.0,9.963641011318273e-05,2538.5396308898926,240933.0,546.9031895914121
67,3.0,7.0,50.0,9.48956073414839e-05,3017.2073011398315,255974.0,541.3840321676189
68,3.0,7.0,60.0,9.40382271135715e-05,5310.244665145874,394455.0,538.8940766311565
69,3.0,7.0,70.0,9.952540272478431e-05,5120.142180919647,376465.0,538.8940763301296
70,4.0,7.0,30.0,8.489638729633721e-05,2296.645520925522,192106.0,479.8539392606598
71,4.0,7.0,40.0,9.77842858001079e-05,3439.869318008423,206653.0,449.63984322878304
72,4.0,7.0,50.0,0.24054796484853583,7200.01394200325,350375.0,454.7147901526611
73,4.0,7.0,60.0,9.949657141143336e-05,5994.34160900116,493733.0,449.6398439259524
74,4.0,7.0,70.0,8.966892313168312e-05,5750.06317782402,342119.0,449.63984229404855
75,0.0,8.0,30.0,0.387839070005384,7200.018866062164,178550.0,523.9401941853623
76,0.0,8.0,40.0,0.4177682348265541,7200.0292501449585,186433.0,521.2392248624346
77,0.0,8.0,50.0,0.45177463037645516,7200.017024040222,167360.0,531.7886936708858
78,0.0,8.0,60.0,0.41289705454710196,7200.026348114014,124886.0,523.184210114614
79,0.0,8.0,70.0,0.44276917895892304,7200.018857955933,178118.0,522.8887787889219
80,1.0,8.0,30.0,0.3240855904294518,7200.016830921173,196129.0,535.9101706237973
81,1.0,8.0,40.0,0.38651048590717657,7200.020190000534,136049.0,522.3180099391972
82,1.0,8.0,50.0,0.4066657321596236,7200.017999887466,157358.0,517.3103102817015
83,1.0,8.0,60.0,0.398418207552073,7200.026666164398,129690.0,511.3671210620143
84,1.0,8.0,70.0,0.4853760794499884,7200.015258073807,213071.0,558.6151825847835
85,2.0,8.0,30.0,0.3916698383483231,7200.01766204834,245900.0,657.3451210713395
