,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,Sec
0,0,5,30,0,12.5471789836884,4192,290.551827668289,0
1,0,5,40,4.09892072292757E-05,39.1486999988556,8837,290.553077716717,0
2,0,5,50,0,20.1594338417053,6005,290.548203039717,0
3,0,5,60,0,26.0211861133575,5333,290.549887560316,0
4,0,5,70,1.513420116107E-05,20.6986122131348,5157,290.550296095155,0
5,1,5,30,0,12.4372210502625,4774,428.805496301562,0
6,1,5,40,2.46799557969798E-06,18.2856540679932,6935,428.799340612556,0
7,1,5,50,0,25.7663028240204,9178,428.798690969174,0
8,1,5,60,6.17860056278051E-05,26.8603451251984,10693,428.795289097613,0
9,1,5,70,2.14302124483119E-05,17.5299170017242,5996,428.799045420688,0
10,2,5,30,7.85052243584035E-05,10.198902130127,3409,394.198695565077,0
11,2,5,40,0,11.3587338924408,3661,378.970840123621,0
12,2,5,50,0,14.6591391563416,3913,370.364430654793,0
13,2,5,60,0,18.3122868537903,5035,370.366769397836,0
14,2,5,70,0,11.4172258377075,4184,370.365696226544,0
15,3,5,30,0,14.8583629131317,4262,338.706277433271,0
16,3,5,40,0,16.8135311603546,6030,338.708555282659,0
17,3,5,50,4.89324591884025E-05,15.750324010849,6543,338.707453225599,0
18,3,5,60,0,27.3585629463196,10087,338.710970262881,0
19,3,5,70,0,24.3812050819397,7288,338.711559370501,0
20,4,5,30,0,13.8699660301209,2605,392.132791457727,0
21,4,5,40,0,12.1862931251526,3424,381.41749148808,0
22,4,5,50,0,16.5525879859924,3699,381.417821632483,0
23,4,5,60,0,10.3834819793701,4128,381.418429078762,0
24,4,5,70,0,25.4623310565948,6507,381.418779326049,0
25,0,6,30,8.74765742308579E-05,131.708360910416,15742,479.973395359012,0
26,0,6,40,1.13907539049398E-05,126.056344985962,19119,449.509614550605,0
27,0,6,50,1.84688301900639E-05,218.076350927353,20324,433.967153348242,0
28,0,6,60,0,205.659592866898,26287,433.969568773354,0
29,0,6,70,5.87583327107288E-05,198.860020875931,25137,433.980528579995,0
30,1,6,30,8.84829158794799E-05,255.725306034088,48640,622.880020328602,0
31,1,6,40,0,536.49128484726,63127,577.271102421835,0
32,1,6,50,8.29697025697953E-05,1247.05639886856,185760,568.193137128066,0
33,1,6,60,6.45859635295333E-05,484.595108985901,68501,568.206948528451,0
34,1,6,70,8.21952067582287E-05,621.894714832306,81549,568.180248630041,0
35,2,6,30,0,135.419432878494,19269,388.746168328175,0
36,2,6,40,0,205.345346927643,20393,387.930696688692,0
37,2,6,50,1.60952082377321E-05,362.149823904037,40466,383.676582959733,0
38,2,6,60,0,408.826867103577,51768,383.217285085966,0
39,2,6,70,7.56890165228932E-05,232.076372861862,31170,383.221544240746,0
40,3,6,30,0,96.3892819881439,14065,400.421712519099,0
41,3,6,40,1.23127755032671E-05,116.115278959274,19449,387.591997095711,0
42,3,6,50,9.89381028723878E-05,103.863736867905,21144,386.173837863398,0
43,3,6,60,0,159.592614173889,26137,386.170328996239,0
44,3,6,70,0,121.407593011856,27127,386.170390091094,0
45,4,6,30,2.08027644255978E-05,108.909748077393,17823,469.160541152348,0
46,4,6,40,1.36899701973366E-05,171.695765018463,19242,440.148207617194,0
47,4,6,50,0,136.662816047668,21170,440.147665494762,0
48,4,6,60,0,162.804851055145,24863,440.143888783667,0
49,4,6,70,0,181.468296051025,26975,440.150508532259,0
50,0,7,30,6.48248890775931E-05,1317.71693110466,112546,659.311065975195,0
51,0,7,40,8.10774616472486E-05,3287.32448911667,220839,637.629413172026,0
52,0,7,50,8.65917673672574E-05,4138.76684713364,278564,626.433607417339,0
